종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"006405","삼성SDI우","1184161","1282092","97931","167908818950","179669241400","11760422450"
"017810","풀무원","57942527","58858809","916282","890069040800","901775859435","11706818635"
"005880","대한해운","673790366","683187984","9397618","1199714835350","1211353612289","11638776939"
"082640","동양생명","25272944","27386711","2113767","160851749053","172427677522","11575928469"
"003620","KG모빌리티","60173815","63659617","3485802","236409922330","247863036012","11453113682"
"001270","부국증권","13743989","13889655","145666","888252297350","899654907050","11402609700"
"034310","NICE","6265874","7265903","1000029","81410391715","92739673220","11329281505"
"037710","광주신세계","3351281","3742369","391088","100914463675","112100279750","11185816075"
"213500","한솔제지","7851134","9114211","1263077","67270586440","78009770885","10739184445"
"013360","일성건설","368589640","371595779","3006139","1088138396034","1098740005321","10601609287"
"281820","케이씨텍","15169362","15657020","487658","513651427650","524244834000","10593406350"
"011760","현대코퍼레이션","10189911","10648728","458817","241364812200","251625757970","10260945770"
"001060","JW중외제약","9136301","9655479","519178","216807447045","226974154375","10166707330"
"000400","롯데손해보험","141409749","146743405","5333656","274212177737","284310467497","10098289760"
"001800","오리온홀딩스","14188874","14669889","481015","285427835520","295145302480","9717466960"
"126720","수산인더스트리","9059358","9500618","441260","219994322475","229599311445","9604988970"
"006340","대원전선","980915859","982756963","1841104","3510125254489","3519680974115","9555719626"
"001720","신영증권","4353449","4415981","62532","588165185800","597639650000","9474464200"
"000390","삼화페인트","74980491","76051291","1070800","622972782995","632197217405","9224434410"
"008490","서흥","13194743","13633448","438705","335104629965","344244280110","9139650145"
"086280","현대글로비스","12922850","13149762","226912","1877973778200","1886948892000","8975113800"
"003000","부광약품","51653028","54101486","2448458","194713759394","203572882852","8859123458"
"001520","동양","1567915061","1576870471","8955410","1565446230807","1573870564365","8424333558"
"298050","HS효성첨단소재","1542008","1594316","52308","301729553850","309975136800","8245582950"
"487570","HS효성","5885729","6050588","164859","383740332900","391876849925","8136517025"
"122900","아이마켓코리아","5756467","6763084","1006617","46843151535","54912791155","8069639620"
"092790","넥스틸","262194686","262253082","58396","3656268684730","3664130630590","7861945860"
"097955","CJ제일제당 우","619328","675319","55991","86046000000","93902164800","7856164800"
"003220","대원제약","10808313","11379254","570941","153153668240","160787733560","7634065320"
"136490","선진","18894259","20049972","1155713","188302794565","195932712920","7629918355"
"452260","한화갤러리아","606279295","612353602","6074307","903410711069","910942472243","7531761174"
"002210","동성제약","16887517","19796944","2909427","41948197740","49450661240","7502463500"
"133820","화인베스틸","120801189","124574197","3773008","188736795952","196037097437","7300301485"
"004090","한국석유","48509366","48922254","412888","771801682490","778983949950","7182267460"
"003690","코리안리","17477338","18613923","1136585","170371165885","177399725910","7028560025"
"381970","케이카","8189978","8748834","558856","123267467765","130245347595","6977879830"
"008350","남선알미늄","405350462","409982039","4631577","548904315739","555866950454","6962634715"
"079900","전진건설로봇","89912756","89985732","72976","4534127328925","4541046715625","6919386700"
"006490","인스코비","257463213","261872690","4409477","381037996964","387892678931","6854681967"
"183190","아세아시멘트","12242049","12692583","450534","152266151465","159070959865","6804808400"
"084670","동양고속","40351116","40619682","268566","1836283857435","1843025578265","6741720830"
"000490","대동","99298917","99942100","643183","1204371997510","1211085881430","6713883920"
"011000","진원생명과학","219768479","222100881","2332402","642394061298","649082267422","6688206124"
"091810","티웨이항공","374500025","378872577","4372552","1197692018428","1204306714521","6614696093"
"001360","삼성제약","157847393","162066651","4219258","288861600909","295423513020","6561912111"
"006660","삼성공조","148873526","149162370","288844","2399631683880","2406143875290","6512191410"
"011690","와이투솔루션","200010773","201473847","1463074","674889171041","681315103445","6425932404"
"003850","보령","21403251","22151754","748503","194017231725","200197162725","6179931000"
"003925","남양유업우","1139747","1282503","142756","44111756425","50219274875","6107518450"
"137310","에스디바이오센서","22560238","23253964","693726","249050642260","254976986970","5926344710"
"481850","신한글로벌액티브리츠","11152721","15077629","3924908","16682270929","22545377882","5863106953"
"003580","HLB글로벌","45470687","47456425","1985738","138510220509","144370061852","5859841343"
"004870","티웨이홀딩스","378973903","382711242","3737339","363149169984","368119419301","4970249317"
"214420","토니모리","147467146","148046488","579342","1389402095065","1394182428665","4780333600"
